"","song","n","unique","proportion","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","album","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","class"
"28","Gyalchester",341,158,0.463343108504399,0.0175953079178886,0.0175953079178886,0.00879765395894428,0.00879765395894428,0.00586510263929619,0.0175953079178886,0.0205278592375367,0.0146627565982405,0.00293255131964809,0.0146627565982405,"More Life",0.391,0.0945,131.018,0.063,0.0317,0.000502,4,0.877,1,189230,-8.196,0.122,1,"New Drake"
"29","Hotline Bling",453,131,0.289183222958057,0.0022075055187638,0.0022075055187638,0.00441501103752759,0.0022075055187638,0.00662251655629139,0.00883002207505519,0.00662251655629139,0.00441501103752759,0.0022075055187638,0.00662251655629139,"Views",0.62,0.0504,134.96,0.0587,0.00347,0.000119,4,0.903,2,267067,-8.094,0.539,1,"New Drake"
"30","Hype",543,228,0.419889502762431,0.0128913443830571,0.00920810313075507,0.00920810313075507,0.0128913443830571,0.00736648250460405,0.0257826887661142,0.0276243093922652,0.00920810313075507,0.00736648250460405,0.0110497237569061,"Views",0.633,0.368,129.97,0.169,0.0259,0,4,0.785,7,209413,-8.223,0.244,1,"New Drake"
"31","I'm Upset",419,195,0.465393794749403,0.0214797136038186,0.0190930787589499,0.0119331742243437,0.00954653937947494,0.0238663484486874,0.0238663484486874,0.035799522673031,0.00715990453460621,0.00715990453460621,0.0190930787589499,"Scorpion",0.587,0.0835,149.993,0.338,0.279,0,4,0.899,11,214467,-7.866,0.49,0,"New Drake"
"32","Ice Melts",489,115,0.235173824130879,0.00204498977505112,0.00613496932515338,0.00204498977505112,0.00408997955010225,0.0081799591002045,0.00408997955010225,0.0184049079754601,0.00204498977505112,0.00204498977505112,0.00204498977505112,"More Life",0.551,0.386,124.957,0.353,0.08,0,4,0.813,6,250770,-7.605,0.598,0,"New Drake"
"33","In My Feelings",595,183,0.307563025210084,0.00504201680672269,0.00504201680672269,0.00504201680672269,0.00336134453781513,0.0100840336134454,0.0151260504201681,0.0218487394957983,0.00672268907563025,0.00504201680672269,0.0117647058823529,"Scorpion",0.482,0.448,181.995,0.139,0.00623,0.0144,4,0.735,8,217933,-9.445,0.315,1,"New Drake"
"34","Jaded",539,201,0.37291280148423,0.0111317254174397,0.00927643784786642,0.00371057513914657,0.0111317254174397,0.0111317254174397,0.0222634508348794,0.0241187384044527,0.00927643784786642,0.00927643784786642,0.012987012987013,"Scorpion",0.272,0.175,116.036,0.041,0.0366,0,4,0.766,0,262453,-5.696,0.037,1,"New Drake"
"35","Jorja Interlude",268,127,0.473880597014925,0.0186567164179104,0.0149253731343284,0.0149253731343284,0.0149253731343284,0.00373134328358209,0.0447761194029851,0.0223880597014925,0.0261194029850746,0.00746268656716418,0.0149253731343284,"More Life",0.373,0.288,123.081,0.104,0.762,0.00202,4,0.735,11,107673,-10.478,0.237,1,"New Drake"
"36","Jungle",459,164,0.357298474945534,0.0108932461873638,0.0130718954248366,0.00871459694989107,0.0174291938997821,0.0108932461873638,0.0217864923747277,0.0217864923747277,0.0065359477124183,0.00435729847494553,0.0130718954248366,"IYRTITL",0.235,0.107,99.906,0.0541,0.618,0.000144,4,0.69,7,320400,-8.651,0.378,1,"New Drake"
"37","Know Yourself",577,224,0.388214904679376,0.0207972270363951,0.0155979202772964,0.00866551126516464,0.0190641247833622,0.00693240901213172,0.024263431542461,0.024263431542461,0.00519930675909879,0.0103986135181976,0.0138648180242634,"IYRTITL",0.412,0.342,114.413,0.225,0.196,0,4,0.733,11,275840,-8.687,0.179,0,"New Drake"
