energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album,predictions
0.701,0.193,145.346,0.188,0.183,0.0,4,0.603,11,373693,-4.495,0.603,0,audio_features,spotify:track:0OLgjNaWAxCMjOlglLQ0Dp,I Do It,2 Chainz,B.O.A.T.S. II #METIME,0.381016384244336
0.429,0.139,141.855,0.192,0.0386,0.0,4,0.65,2,289560,-13.071,0.33299999999999996,1,audio_features,spotify:track:4IvenHmD0spfFDOKphoUDp,After Dark,Drake,Scorpion,0.3947073754109669
0.757,0.0762,172.938,0.384,0.262,1.72e-06,4,0.825,11,177733,-3.687,0.89,0,audio_features,spotify:track:0Qdbw4psZRGYANJauFqbdt,10 Bands,Drake,If You're Reading This It's Too Late,0.401315231992108
0.9309999999999999,0.17600000000000002,87.59299999999999,0.32899999999999996,0.124,0.0,4,0.617,8,218384,-6.053,0.39399999999999996,0,audio_features,spotify:track:4JUOxZkdBzBqMTwber0StH,Scriptures,Champagne Pa,Even Closer To My Dreams,0.4027585684044035
0.42100000000000004,0.139,87.694,0.13699999999999998,0.376,7.23e-06,4,0.442,2,297373,-11.455,0.111,1,audio_features,spotify:track:1my81o4N4vaHpcMlA3Gj4y,U With Me?,Drake,Views,0.40441313113016153
0.7340000000000001,0.196,110.771,0.239,0.35200000000000004,0.0,5,0.511,6,276160,-6.025,0.377,0,audio_features,spotify:track:2aiHJxrgb7PvbTvq4s1FEz,Diced Pineapples,Rick Ross,"God Forgives, I Don't (Deluxe Edition)",0.41026384785302766
0.435,0.0978,119.819,0.0844,0.41200000000000003,0.0,4,0.541,9,419307,-9.302,0.39299999999999996,0,audio_features,spotify:track:4BDgGQXx7jO2JgC7bpFsIv,Shut It Down,Drake,Thank Me Later (Int'l Version),0.42143777093599455
0.672,0.262,79.638,0.39,0.107,0.0,4,0.542,6,366400,-5.436,0.281,1,audio_features,spotify:track:69gz9onZQNVw55cMQsaYii,Tuscan Leather,Drake,Nothing Was The Same (Deluxe),0.4268687121609926
0.467,0.242,150.783,0.0622,0.762,0.0,4,0.391,8,229373,-7.4510000000000005,0.46799999999999997,1,audio_features,spotify:track:5fX5REubGobYCqH6obz3nn,With You,Lil Wayne,I Am Not A Human Being (Explicit Version),0.4295812531679337
0.511,0.18100000000000002,122.029,0.395,0.0689,0.0,4,0.669,1,271573,-6.943,0.429,1,audio_features,spotify:track:5ngydCLbzCEdtu8SEOXhPU,All Me,Drake,Nothing Was The Same (Deluxe),0.4316692548890752
0.612,0.664,118.844,0.442,0.0303,0.0,5,0.54,1,267624,-10.683,0.47200000000000003,0,audio_features,spotify:track:7j9xi8N0gbYG9rXwqQ7gBG,The Winner,Champagne Pa,Closer To My Dreams,0.44844672143258624
0.772,0.0574,137.083,0.14800000000000002,0.14800000000000002,0.0,4,0.5489999999999999,9,267373,-5.292000000000001,0.249,0,audio_features,spotify:track:6s64FyS9n0XYbGMLH3LOWU,Furthest Thing,Drake,Nothing Was The Same (Deluxe),0.46082471262694286
0.266,0.209,153.292,0.13,0.348,9.55e-06,4,0.46799999999999997,0,368036,-11.120999999999999,0.222,1,audio_features,spotify:track:1bVGWGMSNAzc8qhnXzx328,Since Way Back,Drake,More Life,0.4609464108625944
0.727,0.196,164.99200000000002,0.20800000000000002,0.0312,0.0,4,0.618,3,180520,-7.224,0.401,0,audio_features,spotify:track:3V8sM5OOG6YfDuDLa2IIYJ,Used to This,Future,Used to This,0.4616710302912042
0.843,0.434,153.877,0.135,0.201,0.0,4,0.462,4,202173,-4.9030000000000005,0.494,0,audio_features,spotify:track:1eVr0CjFAfnnrNLyn87llQ,We In This 1.5 (feat. Drake and Future),DJ Drama,We In This 1.5 (feat. Drake and Future),0.4680003769692074
0.815,0.107,133.914,0.297,0.0251,0.0,4,0.528,3,191493,-4.878,0.0937,0,audio_features,spotify:track:7n0d4jnQWd3CCxUBZM8ci0,Big Amount,2 Chainz,Big Amount,0.4685519845850642
0.36200000000000004,0.111,135.797,0.048,0.139,2.8300000000000003e-05,4,0.522,1,314632,-10.827,0.17,1,audio_features,spotify:track:1sJU5QlgpMaORYwMi1DR9o,Diamonds Dancing,Drake,What A Time To Be Alive,0.46890069576797005
