energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album,predictions
0.772,0.0574,137.083,0.14800000000000002,0.14800000000000002,0.0,4,0.5489999999999999,9,267373,-5.292000000000001,0.249,0,audio_features,spotify:track:6s64FyS9n0XYbGMLH3LOWU,Furthest Thing,Drake,Nothing Was The Same (Deluxe),0.19281493406503702
0.535,0.0984,98.06700000000001,0.0476,0.0533,1.3800000000000002e-05,4,0.726,7,216558,-7.803999999999999,0.375,0,audio_features,spotify:track:3NzJnmcgNPGFWJYvO3HneW,Blem,Drake,More Life,0.2017472850175193
0.606,0.11,131.92600000000002,0.0476,0.158,0.0,4,0.6829999999999999,1,211827,-7.057,0.369,1,audio_features,spotify:track:3y6e01poVQDru5OLUu8nhE,No Guns Allowed,Snoop Lion,Reincarnated (Deluxe Version),0.20366457704575527
0.841,0.5379999999999999,75.975,0.307,0.0441,0.0,4,0.546,3,271947,-4.303,0.506,0,audio_features,spotify:track:2odU2tlJGVEn4cgMqEZ36S,Right Above It,Lil Wayne,I Am Not A Human Being,0.20582100692317834
0.627,0.0795,98.21,0.252,0.12300000000000001,0.0,3,0.444,7,206627,-8.744,0.359,0,audio_features,spotify:track:0m1KYWlT6LhFRBDVq9UNx4,HYFR (Hell Ya Fucking Right),Drake,Take Care (Deluxe),0.20937498524186088
0.8490000000000001,0.155,128.428,0.25,0.107,0.0,3,0.5539999999999999,5,283307,-4.154,0.386,1,audio_features,spotify:track:0KPUIYMqfLBvpRCwZ9hpFs,6PM In New York,Drake,If You're Reading This It's Too Late,0.21360766300571063
0.579,0.299,104.26700000000001,0.158,0.0009699999999999999,0.0,5,0.495,9,221753,-7.474,0.22,1,audio_features,spotify:track:0EoJvT28HPgpkGdIAdBQGH,I'm Still Fly feat. Drake - Dirty,Page,I'm Still Fly (feat. Drake),0.22428499849823788
0.735,0.239,120.154,0.0881,0.106,4.59e-06,4,0.6920000000000001,8,272747,-5.132000000000001,0.33299999999999996,1,audio_features,spotify:track:4FcvYEVtmB0UuIPbdzwqsH,Cabaret,Justin Timberlake,The 20/20 Experience - 2 of 2 (Deluxe),0.2316486397574704
0.725,0.0961,157.65200000000002,0.0915,0.281,0.00038700000000000003,4,0.669,11,241000,-8.307,0.562,0,audio_features,spotify:track:3t8pnImpBpOwxdtYBpKvA9,The Motion,Drake,Nothing Was The Same (Deluxe),0.23301005397511354
0.8190000000000001,0.0607,103.008,0.198,0.0565,0.0,4,0.753,2,261013,-4.797,0.532,1,audio_features,spotify:track:5ukPDpFnFeto4Z1KSvZcP8,OVO Life,Aubrey,Drank,0.2357533936073361
0.575,0.276,85.994,0.0673,0.0443,0.0012699999999999999,4,0.755,4,205147,-8.392000000000001,0.493,0,audio_features,spotify:track:7txPE73wHbuXYkM1h8zNrG,Mob Ties,Drake,Scorpion,0.23584240612172763
0.58,0.0497,171.917,0.209,0.0125,0.0,4,0.57,10,270627,-5.547000000000001,0.405,0,audio_features,spotify:track:4kqluSwcQs3kqfK82ZrB93,Aston Martin Music,Rick Ross,Teflon Don,0.2436672253133871
0.684,0.314,79.994,0.251,0.0771,0.0,4,0.654,4,187067,-7.952999999999999,0.665,0,audio_features,spotify:track:3P1oszEYywRpMvlcSKuT84,F*** Da Bulls***,Young Money,We Are Young Money,0.25259477590236
0.725,0.0821,128.04,0.0676,0.574,0.0,4,0.802,0,225000,-5.965,0.598,0,audio_features,spotify:track:1iLv1ieT9BZ3qsti9yTCnG,Odio,Romeo Santos,"Fórmula, Vol. 2 (Deluxe Edition)",0.26095490318439185
0.7340000000000001,0.196,110.771,0.239,0.35200000000000004,0.0,5,0.511,6,276160,-6.025,0.377,0,audio_features,spotify:track:2aiHJxrgb7PvbTvq4s1FEz,Diced Pineapples,Rick Ross,"God Forgives, I Don't (Deluxe Edition)",0.26229128447134814
0.7190000000000001,0.162,162.09,0.29100000000000004,0.0833,0.0,4,0.44799999999999995,7,267720,-4.178999999999999,0.301,0,audio_features,spotify:track:3ejrk4i0LWIofaaBEmwX0A,Stay Schemin,Rick Ross,Stay Schemin,0.2630372919971165
0.563,0.0776,100.09299999999999,0.071,0.0269,0.0,4,0.7120000000000001,1,241853,-7.5729999999999995,0.299,1,audio_features,spotify:track:4aIZQ7kJLS1TgFw2pEj0RD,Legend,Drake,If You're Reading This It's Too Late,0.2668946096974371
0.797,0.331,157.954,0.0677,0.0007440000000000001,0.0,4,0.574,0,257693,-8.617,0.319,0,audio_features,spotify:track:6dRnCe4S9UhKHqLnAgniGE,So Good,Shanell,So Good,0.27156199022438815
0.745,0.0823,148.042,0.25,0.0311,0.0,4,0.715,9,262440,-5.71,0.687,1,audio_features,spotify:track:5r25QBiGwvvKCmMGO4LmHI,Gonorrhea,Lil Wayne,I Am Not A Human Being,0.2748550344406342
0.5660000000000001,0.0917,151.894,0.106,0.365,0.00035299999999999996,4,0.636,6,235987,-7.16,0.425,0,audio_features,spotify:track:6LxSe8YmdPxy095Ux6znaQ,Headlines,Drake,Take Care (Deluxe),0.28137146697381127
0.6759999999999999,0.0811,173.47799999999998,0.213,0.0239,0.0,4,0.413,1,302173,-5.124,0.0827,1,audio_features,spotify:track:1v1IXPXl73Z7zy6f5tUa9n,Emotionless,Drake,Scorpion,0.2852951018304702
0.7020000000000001,0.34299999999999997,155.94799999999998,0.205,0.517,0.0,4,0.556,0,351000,-10.079,0.7929999999999999,0,audio_features,spotify:track:4xRxYWgAtL6pzRz94GlZlA,The Ride,Drake,Take Care (Deluxe),0.2856665005905065
0.767,0.461,111.81299999999999,0.373,0.418,0.0,5,0.644,10,315716,-3.7030000000000003,0.847,0,audio_features,spotify:track:7aq5uiJZM47v3qBVYcmsDk,Ransom,Champagne Pa,Closer To My Dreams,0.2994546157092773
0.8420000000000001,0.266,116.016,0.24,0.0928,0.0,4,0.736,3,339879,-6.361000000000001,0.723,1,audio_features,spotify:track:3ltQPTXhrON8jhi7WFPNRm,We Made It,Champagne Pa,Even Closer To My Dreams,0.2996134203235392
