"","song","n","unique","proportion","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","album","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","class"
"28","Shot for Me",413,184,0.445520581113801,0.026634382566586,0.0145278450363196,0.0242130750605327,0.0169491525423729,0.0169491525423729,0.0460048426150121,0.0290556900726392,0.0290556900726392,0.00484261501210654,0.0145278450363196,"Take Care",0.465,0.567,143.015,0.235,0.0555,0,4,0.566,2,224720,-11.714,0.177,1,"Old Drake"
"29","Shut It Down",814,252,0.30958230958231,0.00737100737100737,0.0135135135135135,0.00614250614250614,0.00491400491400491,0.0122850122850123,0.0171990171990172,0.0208845208845209,0.00737100737100737,0.00614250614250614,0.0135135135135135,"Thank Me Later",0.435,0.0978,119.819,0.0844,0.412,0,4,0.541,9,419307,-9.302,0.393,0,"Old Drake"
"30","Started from the Bottom",477,140,0.293501048218029,0.00628930817610063,0.00838574423480084,0.00209643605870021,0.00419287211740042,0.00628930817610063,0.0188679245283019,0.0125786163522013,0.00628930817610063,0.00209643605870021,0.0167714884696017,"NWTS",0.523,0.161,86.311,0.196,0.0365,0,4,0.792,8,174120,-7.856,0.545,1,"Old Drake"
"31","Successful",883,346,0.391845979614949,0.0124575311438279,0.0226500566251416,0.00906002265005663,0.0135900339750849,0.0192525481313703,0.0203850509626274,0.0362400906002265,0.00906002265005663,0.0101925254813137,0.0215175537938845,"So Far Gone",0.416,0.114,159.109,0.387,0.464,0,4,0.735,8,350621,-7.939,0.229,1,"Old Drake"
"32","Under Ground Kings",668,257,0.384730538922156,0.00598802395209581,0.0104790419161677,0.00449101796407186,0.00449101796407186,0.00898203592814371,0.0104790419161677,0.0284431137724551,0.00598802395209581,0.00598802395209581,0.0194610778443114,"Take Care",0.712,0.198,156.209,0.27,5.2e-05,0,4,0.487,8,212613,-7.323,0.397,1,"Old Drake"
"33","Unforgettable",617,243,0.393841166936791,0.0145867098865478,0.0113452188006483,0.00810372771474878,0.0178282009724473,0.0145867098865478,0.0243111831442464,0.0275526742301459,0.00810372771474878,0.00972447325769854,0.0113452188006483,"Thank Me Later",0.872,0.107,156.109,0.119,0.0951,0,4,0.562,4,213813,-5.108,0.072,0,"Old Drake"
"34","Up All Night",620,233,0.375806451612903,0.0129032258064516,0.0145161290322581,0.0112903225806452,0.0129032258064516,0.0112903225806452,0.0241935483870968,0.0241935483870968,0.0129032258064516,0.0129032258064516,0.0161290322580645,"Thank Me Later",0.809,0.336,156.344,0.282,0.00778,1.62e-05,4,0.592,7,234333,-4.667,0.272,1,"Old Drake"
"35","Uptown",960,322,0.335416666666667,0.0135416666666667,0.00625,0.00729166666666667,0.0114583333333333,0.00729166666666667,0.0260416666666667,0.0145833333333333,0.009375,0.0104166666666667,0.00520833333333333,"So Far Gone",0.754,0.212,128.012,0.269,0.00356,0,4,0.761,1,380575,-4.674,0.381,1,"Old Drake"
"36","We'll Be Fine",643,248,0.385692068429238,0.00933125972006221,0.0139968895800933,0.00622083981337481,0.0108864696734059,0.0139968895800933,0.0171073094867807,0.0233281493001555,0.0108864696734059,0.0046656298600311,0.0139968895800933,"Take Care",0.488,0.64,193.397,0.422,0.00171,0,4,0.386,1,247947,-7.303,0.217,0,"Old Drake"
"37","Worst Behavior",560,227,0.405357142857143,0.0125,0.00892857142857143,0.0125,0.0107142857142857,0.00535714285714286,0.0232142857142857,0.0196428571428571,0.00892857142857143,0.00714285714285714,0.00892857142857143,"NWTS",0.781,0.185,109.945,0.147,0.158,0,4,0.771,9,270200,-6.361,0.407,1,"Old Drake"
