energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album
0.603,0.115,94.992,0.0331,0.0538,5.83e-06,4,0.436,9,154120,-6.882,0.227,0,audio_features,spotify:track:147TR5QZzxTnnwqltaRi4N,Cece's Interlude,Drake,Thank Me Later (Int'l Version)
0.675,0.229,73.024,0.146,0.345,0.0,4,0.691,3,252960,-5.612,0.925,0,audio_features,spotify:track:1RKSWMAwBTuwhYkZlYskqw,Celebration (feat. Drake),Tank,Now Or Never
0.697,0.469,164.126,0.039,0.00653,0.0,4,0.453,1,296040,-4.759,0.0486,1,audio_features,spotify:track:4HGoHFPqYbUOVx9KPSRNMk,Champion,Nicki Minaj,Pink Friday ... Roman Reloaded
0.334,0.118,137.855,0.385,0.0204,0.0,4,0.804,0,220862,-10.135,0.202,1,audio_features,spotify:track:35Nsvr22p4RsudZoH8kLdC,Change Locations,Drake,What A Time To Be Alive
0.698,0.0719,132.981,0.35,0.0924,0.0,5,0.482,6,211853,-6.701,0.899,0,audio_features,spotify:track:1Zjn2BMaHsXG43bTGuTZf0,Change You,Jenna,The Radio Singles
0.694,0.121,177.777,0.608,0.91,0.0,4,0.457,6,189769,-7.018,0.383,0,audio_features,spotify:track:3bOoByGO6dgf3EYY8pSDaV,Charged Up,Drake,Charged Up
0.482,0.197,160.027,0.231,0.0173,7.1e-06,4,0.691,1,241400,-11.14,0.305,1,audio_features,spotify:track:2YuurylylBcB0fJ8ho5soN,Childs Play,Drake,Views
0.715,0.106,92.933,0.261,0.142,0.0,4,0.733,1,311536,-5.614,0.869,1,audio_features,spotify:track:3hDm6Z9TeSVRVpvi468hJR,Closer,Champagne Pa,Even Closer To My Dreams
0.616,0.141,86.219,0.0804,0.679,2.43e-05,4,0.409,6,239882,-9.584,0.655,0,audio_features,spotify:track:2K6CmoAlg0lUMnfIWyONEs,Club Paradise,Empire,Power 16
0.347,0.087,84.987,0.0636,0.0511,2.43e-06,4,0.717,11,235477,-10.265,0.0589,0,audio_features,spotify:track:1wZqJM5FGDEl3FjHDxDyQd,Come and See Me (feat. Drake),PARTYNEXTDOOR,PARTYNEXTDOOR 3 (P3)
0.457,0.109,99.99,0.204,0.138,1.96e-06,4,0.835,4,211274,-7.455,0.544,0,audio_features,spotify:track:2f9LSU0aBW04w6KL26DW8r,Come Closer,WizKid,Come Closer
0.477,0.58,82.046,0.183,0.168,0.0,4,0.632,0,236360,-5.802,0.433,0,audio_features,spotify:track:5Ggfa9cpkpfp5D6Rg0Yyw1,Come Thru,Drake,Nothing Was The Same (Deluxe)
0.55,0.165,107.571,0.0496,0.0403,0.0,4,0.651,7,252640,-8.216,0.119,1,audio_features,spotify:track:4whiojdZ6EVhfky6InPF8r,Company,Drake,If You're Reading This It's Too Late
0.492,0.145,75.067,0.157,0.414,0.0,4,0.675,6,296400,-9.516,0.472,0,audio_features,spotify:track:1Sj81sMg37Hd4omn7Ow2qR,Connect,Drake,Nothing Was The Same (Deluxe)
0.476,0.113,122.976,0.249,0.0773,0.0,5,0.607,10,245227,-11.076,0.347,0,audio_features,spotify:track:6F609ICg9Spjrw1epsAnpa,Controlla,Drake,Views
0.546,0.229,160.152,0.238,0.227,0.0,4,0.418,0,208813,-9.057,0.294,0,audio_features,spotify:track:0V4l4GQhgnWQGtCWpvA7va,Crew Love,Drake,Take Care (Deluxe)
0.649,0.0886,147.941,0.239,0.317,0.0,4,0.72,5,338920,-5.187,0.243,0,audio_features,spotify:track:4QKMuKPhCK8Aji8MaeJL4T,"Deuces Remix - f/Drake, Kanye West & André 3000 - Explicit Version",Chris Brown,Deuces Remix
0.362,0.111,135.797,0.048,0.139,2.83e-05,4,0.522,1,314632,-10.827,0.17,1,audio_features,spotify:track:1sJU5QlgpMaORYwMi1DR9o,Diamonds Dancing,Drake,What A Time To Be Alive
0.734,0.196,110.771,0.239,0.352,0.0,5,0.511,6,276160,-6.025,0.377,0,audio_features,spotify:track:2aiHJxrgb7PvbTvq4s1FEz,Diced Pineapples,Rick Ross,"God Forgives, I Don't (Deluxe Edition)"
0.543,0.234,140.029,0.128,0.00311,6.85e-06,4,0.889,2,231231,-7.666,0.314,1,audio_features,spotify:track:3iZ8223bfKeY87iTdcRMtJ,Digital Dash,Drake,What A Time To Be Alive
0.674,0.0906,213.737,0.358,0.018,0.0,4,0.533,1,278787,-5.862,0.602,1,audio_features,spotify:track:2tYzBN5rGuA6qVwxDKk1Ip,Digital Girl Remix - Original Remix,Jamie Foxx,Digital Girl Remix (Original Remix)
0.846,0.292,75.137,0.453,0.00472,0.0,4,0.663,0,255840,-5.226,0.526,1,audio_features,spotify:track:3tvkzvUTF0yoq3pdBi81I0,Diplomatic Immunity,Drake,Scary Hours
0.607,0.29,76.987,0.277,0.0958,0.0,4,0.721,0,206267,-7.078,0.59,0,audio_features,spotify:track:6AaOtHsKd195ec0Y4kC9ER,DnF,Preme,DnF
0.693,0.112,170.982,0.45,0.246,0.0,4,0.618,7,283551,-5.943,0.454,0,audio_features,spotify:track:1JxV2A7IFlmosxlCckJ8Yc,Do Not Disturb,Drake,More Life
0.172,0.108,101.275,0.0445,0.841,6.78e-05,4,0.397,6,265120,-15.698,0.123,0,audio_features,spotify:track:4eSGSqP2TZvvX0kadZZttM,Doing It Wrong,Drake,Take Care (Deluxe)
0.317,0.11,103.001,0.0583,0.497,0.0128,4,0.825,10,245787,-12.39,0.136,1,audio_features,spotify:track:36ONiya0OANYknz0GgJmwB,Don’t Matter To Me,Drake,Scorpion
0.362,0.109,122.043,0.055,0.157,0.0,4,0.709,11,251860,-9.814,0.113,1,audio_features,spotify:track:0PXp9QxBfSKGGpWUNaws2X,Drama (feat. Drake),Roy Woods,Exis
0.47,0.118,76.056,0.139,0.0153,0.0,4,0.755,1,184960,-8.72,0.0604,1,audio_features,spotify:track:4uloft7ZE54WflsuqFmjC7,Elevate,Drake,Scorpion
0.676,0.0811,173.478,0.213,0.0239,0.0,4,0.413,1,302173,-5.124,0.0827,1,audio_features,spotify:track:1v1IXPXl73Z7zy6f5tUa9n,Emotionless,Drake,Scorpion
0.571,0.534,172.105,0.478,0.38,0.0,4,0.748,11,181933,-7.916,0.553,1,audio_features,spotify:track:39h7qYbmksGgxQzDH9X7Aq,Energy,Drake,If You're Reading This It's Too Late
0.637,0.0791,97.967,0.0926,0.203,2.74e-05,4,0.844,1,227000,-3.136,0.812,0,audio_features,spotify:track:3JgImOzJU8ByzRWcxaLzMF,Enjoy Ya Self V2,Slakah The Beatchild,Soul Movement Vol I
0.495,0.079,128.227,0.0889,0.572,0.0,5,0.47,8,236880,-8.34,0.443,1,audio_features,spotify:track:4UBVhw7F2XdieAtMntW4MU,Enough Said,Aubrey,Drank
0.744,0.319,76.171,0.252,0.00291,0.0,4,0.605,4,313400,-5.5,0.743,1,audio_features,spotify:track:2Vf9DiamkE8MHbjj1BXoKG,EveryGirl In The World,Young Money,We Are Young Money
0.684,0.314,79.994,0.251,0.0771,0.0,4,0.654,4,187067,-7.953,0.665,0,audio_features,spotify:track:3P1oszEYywRpMvlcSKuT84,F*** Da Bulls***,Young Money,We Are Young Money
0.687,0.114,96.006,0.263,0.0208,1e-06,4,0.869,1,233787,-6.816,0.668,1,audio_features,spotify:track:4XoP1AkbOurU9CeZ2rMEz2,F**kin' Problems,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version)
0.54,0.206,112.754,0.103,0.336,0.0,3,0.805,11,186027,-9.299,0.412,0,audio_features,spotify:track:7d485yHrFG6NxY9Zx08oyq,"Faith, Pt. 2",Kos,Muchmusic Presents: K-Os Live
0.446,0.323,99.979,0.162,0.104,1.01e-05,4,0.536,1,290133,-10.489,0.157,1,audio_features,spotify:track:5csyFWmmFlqKXh3ehjom3H,Faithful,Drake,Views
0.481,0.176,134.007,0.287,0.105,0.0,4,0.928,9,210937,-9.35,0.613,0,audio_features,spotify:track:5o2r7507gCOYdRMeR3noqZ,Fake Love,Drake,More Life
0.393,0.11,136.866,0.0827,0.394,3.24e-06,4,0.593,1,269533,-11.736,0.193,1,audio_features,spotify:track:0hRPRbA2B1CYmGNhWhFjwF,Fall For Your Type,Jamie Foxx,Best Night Of My Life
0.884,0.356,87.275,0.458,0.331,2e-06,4,0.517,2,319387,-5.581,0.282,0,audio_features,spotify:track:238Sekyg7DyN2XDm0z4oWY,Fancy,Drake,Thank Me Later (Int'l Version)
0.783,0.11,83.944,0.181,0.0615,0.0,4,0.334,9,280404,-6.144,0.308,0,audio_features,spotify:track:6WoU9Joc473Jrc7NNrpGIZ,Fear,Drake,So Far Gone
0.673,0.116,193.668,0.162,0.032,6.38e-06,4,0.581,7,240653,-7.111,0.209,1,audio_features,spotify:track:6H7b2XG2xcpctrl602BwGl,Feel No Ways,Drake,Views
0.449,0.115,86.505,0.442,0.428,8.29e-06,4,0.461,0,219960,-10.998,0.104,1,audio_features,spotify:track:7ijJ5crvsnCvCLJbHpyq3j,Final Fantasy,Drake,Scorpion
0.613,0.0286,96.034,0.173,0.0209,0.0,4,0.625,6,208947,-6.005,0.737,0,audio_features,spotify:track:18PSaTJMLkFNWnW0NWdOAW,Find Your Love,Drake,Thank Me Later (Int'l Version)
0.321,0.1,94.994,0.0571,0.132,0.000289,4,0.807,0,182080,-8.147,0.305,0,audio_features,spotify:track:590bUp2TKTfTS9NfiD4Nmn,Finesse,Drake,Scorpion
0.259,0.0855,79.839,0.0892,0.0803,0.0,4,0.709,1,238120,-14.341,0.265,0,audio_features,spotify:track:2ZB8Zwf6wd3PUMlSJKR2bG,Fire & Desire,Drake,Views
0.756,0.162,89.453,0.356,0.434,0.0,4,0.52,0,313267,-6.472,0.533,1,audio_features,spotify:track:4pUUhsc8fmZqnsPaOSU5CP,Fireworks,Drake,Thank Me Later (Int'l Version)
