"","song","n","unique","proportion","album","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","class","sentiment","emotion"
"49","Company",573,204,0.356020942408377,"IYRTITL",0.55,0.165,107.571,0.0496,0.0403,0,4,0.651,7,252640,-8.216,0.119,1,"New Drake","anger",0.0087260034904014
"50","Controlla",431,161,0.373549883990719,"Views",0.476,0.113,122.976,0.249,0.0773,0,5,0.607,10,245227,-11.076,0.347,0,"New Drake","anger",0.00928074245939675
"51","Do Not Disturb",662,320,0.483383685800604,"More Life",0.693,0.112,170.982,0.45,0.246,0,4,0.618,7,283551,-5.943,0.454,0,"New Drake","anger",0.0120845921450151
"52","Elevate",369,182,0.493224932249323,"Scorpion",0.47,0.118,76.056,0.139,0.0153,0,4,0.755,1,184960,-8.72,0.0604,1,"New Drake","anger",0.010840108401084
"53","Emotionless",618,280,0.453074433656958,"Scorpion",0.676,0.0811,173.478,0.213,0.0239,0,4,0.413,1,302173,-5.124,0.0827,1,"New Drake","anger",0.00809061488673139
"54","Energy",521,191,0.366602687140115,"IYRTITL",0.571,0.534,172.105,0.478,0.38,0,4,0.748,11,181933,-7.916,0.553,1,"New Drake","anger",0.00575815738963532
"55","Faithful",537,182,0.338919925512104,"Views",0.446,0.323,99.979,0.162,0.104,1.01e-05,4,0.536,1,290133,-10.489,0.157,1,"New Drake","anger",0.0111731843575419
"56","Fake Love",486,108,0.222222222222222,"More Life",0.481,0.176,134.007,0.287,0.105,0,4,0.928,9,210937,-9.35,0.613,0,"New Drake","anger",0.00205761316872428
"57","Feel No Ways",342,110,0.321637426900585,"Views",0.673,0.116,193.668,0.162,0.032,6.38e-06,4,0.581,7,240653,-7.111,0.209,1,"New Drake","anger",0.00292397660818713
"58","Final Fantasy",306,160,0.522875816993464,"Scorpion",0.449,0.115,86.505,0.442,0.428,8.29e-06,4,0.461,0,219960,-10.998,0.104,1,"New Drake","anger",0.0163398692810458
"59","Finesse",188,95,0.50531914893617,"Scorpion",0.321,0.1,94.994,0.0571,0.132,0.000289,4,0.807,0,182080,-8.147,0.305,0,"New Drake","anger",0.0106382978723404
"60","Fire & Desire",353,130,0.368271954674221,"Views",0.259,0.0855,79.839,0.0892,0.0803,0,4,0.709,1,238120,-14.341,0.265,0,"New Drake","anger",0.0028328611898017
